800
1, 86, 6.257362
86, 1, 6.257362
1, 87, 6.861529
87, 1, 6.861529
1, 72, 7.283803
72, 1, 7.283803
1, 84, 10.701969
84, 1, 10.701969
2, 78, 7.319952
78, 2, 7.319952
2, 6, 8.281210
6, 2, 8.281210
2, 56, 8.625114
56, 2, 8.625114
2, 22, 12.885961
22, 2, 12.885961
3, 79, 0.418586
79, 3, 0.418586
3, 68, 2.259491
68, 3, 2.259491
3, 76, 3.485227
76, 3, 3.485227
3, 14, 7.307174
14, 3, 7.307174
4, 44, 4.120367
44, 4, 4.120367
4, 90, 9.641894
90, 4, 9.641894
4, 71, 11.154927
71, 4, 11.154927
4, 26, 11.242029
26, 4, 11.242029
5, 4, 12.680901
4, 5, 12.680901
5, 19, 13.809391
19, 5, 13.809391
5, 71, 14.389916
71, 5, 14.389916
5, 44, 16.338476
44, 5, 16.338476
6, 78, 3.748932
78, 6, 3.748932
6, 22, 8.111251
22, 6, 8.111251
6, 2, 8.281210
2, 6, 8.281210
6, 51, 8.694462
51, 6, 8.694462
7, 90, 2.552218
90, 7, 2.552218
7, 26, 5.271365
26, 7, 5.271365
7, 44, 8.793022
44, 7, 8.793022
7, 21, 10.154129
21, 7, 10.154129
8, 38, 10.889665
38, 8, 10.889665
8, 46, 16.997944
46, 8, 16.997944
8, 71, 18.025656
71, 8, 18.025656
8, 44, 18.773773
44, 8, 18.773773
9, 77, 8.386731
77, 9, 8.386731
9, 53, 11.316535
53, 9, 11.316535
9, 67, 11.632597
67, 9, 11.632597
9, 55, 12.566928
55, 9, 12.566928
10, 92, 9.985456
92, 10, 9.985456
10, 70, 12.989645
70, 10, 12.989645
10, 45, 14.332029
45, 10, 14.332029
10, 33, 15.112997
33, 10, 15.112997
11, 50, 11.171888
50, 11, 11.171888
11, 39, 12.054248
39, 11, 12.054248
11, 95, 15.916904
95, 11, 15.916904
11, 85, 16.507194
85, 11, 16.507194
12, 32, 10.795111
32, 12, 10.795111
12, 74, 11.534700
74, 12, 11.534700
12, 100, 12.274021
100, 12, 12.274021
12, 80, 12.678331
80, 12, 12.678331
13, 52, 1.909154
52, 13, 1.909154
13, 34, 4.562967
34, 13, 4.562967
13, 35, 9.235289
35, 13, 9.235289
13, 51, 9.255174
51, 13, 9.255174
14, 76, 6.769130
76, 14, 6.769130
14, 79, 6.922418
79, 14, 6.922418
14, 3, 7.307174
3, 14, 7.307174
14, 74, 7.909851
74, 14, 7.909851
15, 83, 3.717057
83, 15, 3.717057
15, 25, 9.222888
25, 15, 9.222888
15, 99, 9.265233
99, 15, 9.265233
15, 43, 13.248973
43, 15, 13.248973
16, 98, 5.373964
98, 16, 5.373964
16, 23, 6.725372
23, 16, 6.725372
16, 30, 8.993712
30, 16, 8.993712
16, 86, 9.392424
86, 16, 9.392424
17, 38, 9.774439
38, 17, 9.774439
17, 45, 9.889495
45, 17, 9.889495
17, 36, 12.576300
36, 17, 12.576300
17, 10, 15.731478
10, 17, 15.731478
18, 97, 1.434412
97, 18, 1.434412
18, 28, 4.503085
28, 18, 4.503085
18, 20, 10.560145
20, 18, 10.560145
18, 73, 12.656179
73, 18, 12.656179
19, 71, 0.836587
71, 19, 0.836587
19, 46, 5.316910
46, 19, 5.316910
19, 58, 7.889642
58, 19, 7.889642
19, 4, 11.368547
4, 19, 11.368547
20, 73, 3.475943
73, 20, 3.475943
20, 37, 6.605953
37, 20, 6.605953
20, 28, 6.879098
28, 20, 6.879098
20, 54, 6.989612
54, 20, 6.989612
21, 62, 2.493226
62, 21, 2.493226
21, 7, 10.154129
7, 21, 10.154129
